Site,Building/Location,Device / Access Segment,VLAN ID,Department / Function,Subnet,Gateway (verify in .pkt),Usable Host Range
Malaysia,Building 1,MY-ACC-SW1-B1,10,Administration,10.10.10.0/24,10.10.10.1,10.10.10.1 - 10.10.10.254
Malaysia,Building 1,MY-ACC-SW2-B1,20,Production,10.10.20.0/24,10.10.20.1,10.10.20.1 - 10.10.20.254
Malaysia,Building 1,MY-ACC-SW3-B1,30,IT Support,10.10.30.0/24,10.10.30.1,10.10.30.1 - 10.10.30.254
Malaysia,Building 1,All B1 switches,40,Guest Wi-Fi,10.10.40.0/24,10.10.40.1,10.10.40.1 - 10.10.40.254
Malaysia,Building 2,MY-ACC-SW1-B2,10,Administration,10.11.10.0/24,10.11.10.1,10.11.10.1 - 10.11.10.254
Malaysia,Building 2,MY-ACC-SW2-B2,20,Production,10.11.20.0/24,10.11.20.1,10.11.20.1 - 10.11.20.254
Malaysia,Building 2,MY-ACC-SW3-B2,30,IT Support,10.11.30.0/24,10.11.30.1,10.11.30.1 - 10.11.30.254
Malaysia,Building 2,All B2 switches,40,Guest Wi-Fi,10.11.40.0/24,10.11.40.1,10.11.40.1 - 10.11.40.254
Malaysia,Building 3,MY-ACC-SW1-B3,10,Administration,10.12.10.0/24,10.12.10.1,10.12.10.1 - 10.12.10.254
Malaysia,Building 3,MY-ACC-SW2-B3,20,Production,10.12.20.0/24,10.12.20.1,10.12.20.1 - 10.12.20.254
Malaysia,Building 3,MY-ACC-SW3-B3,30,IT Support,10.12.30.0/24,10.12.30.1,10.12.30.1 - 10.12.30.254
Malaysia,Building 3,All B3 switches,40,Guest Wi-Fi,10.12.40.0/24,10.12.40.1,10.12.40.1 - 10.12.40.254
Singapore,HQ,SG-ACC-SW1-HQ,10,Administration,10.1.10.0/24,10.1.10.1,10.1.10.1 - 10.1.10.254
Singapore,HQ,SG-ACC-SW2-HQ,20,Production,10.1.20.0/24,10.1.20.1,10.1.20.1 - 10.1.20.254
Singapore,HQ,SG-ACC-SW3-HQ,30,IT Support,10.1.30.0/24,10.1.30.1,10.1.30.1 - 10.1.30.254
Singapore,HQ,All HQ switches,40,Guest Wi-Fi,10.1.40.0/24,10.1.40.1,10.1.40.1 - 10.1.40.254
Singapore,HQ,SG-ACC-SW4-HQ,50,Servers / Data Center,10.1.50.0/24,10.1.50.1,10.1.50.1 - 10.1.50.254
